Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,,-,,b'United States',,,,,,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,3,0,0,8,0,0,0,7,8,0,0,0,0.294,100,141.39,0.12,1016,1.7,330,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,3,30,0,7.9,0,0,0,3,7.9,0,0,0,0.294,100,135.53,0.12,1016,1.7,328,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,4,0,0,7.7,0,0,0,7,7.7,0,0,0,0.295,100,129.62,0.12,1016,1.6,327,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,4,30,0,7.6,0,0,0,7,7.6,0,0,0,0.295,100,123.71,0.12,1016,1.6,324,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,5,0,0,7.5,0,0,0,0,7.5,0,0,0,0.296,100,117.83,0.12,1016,1.6,321,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,5,30,0,7.5,0,0,0,1,7.5,0,0,0,0.296,100,112.02,0.12,1016,1.5,319,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,6,0,0,7.5,0,0,0,1,7.5,0,0,0,0.297,100,106.29,0.12,1017,1.5,316,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,6,30,0,7.5,0,0,0,1,7.5,0,0,0,0.297,100,100.69,0.12,1017,1.4,316,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,7,0,0,7.5,0,0,0,3,7.5,0,0,0,0.297,100,95.24,0.12,1017,1.4,315,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,7,30,0,8.6,0,0,0,1,8,0,0,0,0.297,96.24,89.5,0.12,1017,1.3,315,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,8,0,32,9.6,26,444,66,3,8.6,73,7,39,0.297,93.67,84.8,0.12,1018,1.3,315,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,8,30,63,10.5,38,614,143,8,8.6,133,7,86,0.297,88.21,80.14,0.12,1018,1.3,315,2.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,9,0,90,11.4,46,721,223,8,8.8,254,7,152,0.298,84.01,75.78,0.12,1018,1.3,316,2.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,9,30,52,12.2,52,792,299,0,8.8,792,0,299,0.297,79.7,71.81,0.12,1018,1.2,318,2.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,10,0,58,13.1,58,833,365,0,8.8,833,0,365,0.297,75.37,68.33,0.12,1018,1.2,320,2.3,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,10,30,84,13.8,61,864,421,7,8.8,702,7,376,0.297,72.02,65.42,0.12,1018,1.2,323,2.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,11,0,76,14.6,62,888,463,7,8.9,779,7,428,0.297,68.85,63.16,0.12,1018,1.2,326,2.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,11,30,64,15.2,64,901,492,0,8.9,901,0,492,0.296,66.18,61.62,0.12,1017,1.2,329,2.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,12,0,64,15.8,64,909,506,0,8.9,909,0,506,0.296,63.54,60.86,0.12,1017,1.2,333,2.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,12,30,63,16.2,63,909,505,0,8.9,909,0,505,0.295,61.89,60.91,0.12,1016,1.2,335,2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,13,0,64,16.6,64,898,489,0,8.9,898,0,489,0.294,60.4,61.76,0.12,1016,1.2,336,2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,13,30,63,16.7,63,888,461,0,8.9,888,0,461,0.292,60.02,63.39,0.12,1016,1.1,336,1.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,14,0,60,16.8,60,867,416,0,9,867,0,416,0.291,60.09,65.74,0.12,1016,1.1,337,1.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,14,30,57,16.5,57,834,359,0,9,834,0,359,0.29,61.24,68.73,0.12,1016,1.1,334,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,15,0,53,16.2,53,782,291,0,10.4,782,0,291,0.289,68.46,72.27,0.12,1016,1.1,331,1.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,15,30,47,16.2,47,710,215,0,10.4,710,0,215,0.289,68.46,76.29,0.12,1016,1.1,331,1.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,16,0,38,14,38,606,136,0,10,606,0,136,0.288,76.72,80.69,0.12,1016,1,325,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,16,30,24,13.2,24,422,58,0,10,422,0,58,0.288,80.8,85.38,0.12,1016,1,324,1.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,17,0,0,12.4,0,0,0,7,9.3,0,0,0,0.288,81.15,90.03,0.12,1016,1,323,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,17,30,0,12,0,0,0,7,9.3,0,0,0,0.288,83.39,95.89,0.12,1017,1,323,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,18,0,0,11.5,0,0,0,7,9.5,0,0,0,0.288,87.42,101.36,0.12,1017,0.9,323,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,18,30,0,11.3,0,0,0,7,9.5,0,0,0,0.288,88.66,106.98,0.12,1018,1,325,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,19,0,0,11.1,0,0,0,3,9.7,0,0,0,0.288,91.3,112.71,0.12,1018,1,327,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,19,30,0,11.1,0,0,0,8,9.7,0,0,0,0.288,91.3,118.54,0.12,1018,1,331,1.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,20,0,0,11.1,0,0,0,3,9.9,0,0,0,0.288,92.31,124.42,0.12,1018,1,335,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,2,20,30,0,11.2,0,0,0,3,9.9,0,0,0,0.288,91.79,130.33,0.12,1019,1,341,1.4,,,,,,,,,,,,,,,,,,,,,,,
